game_id,season,week,season_type,home_away,team_id,team,conference,opponent_id,opponent,opponent_conference,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
401426586,2022,7,regular,home,249,North Texas,Conference USA,2348,Louisiana Tech,Conference USA,11-21,0,27,3-3,0,0,0,0,1,0,14,1,11,196,6,0,2,26:38,0,0,0,3,47,4,475,7,44,8,5-12,1,8-67,671,1,9.3,10.1
401426587,2022,7,regular,away,98,Western Kentucky,Conference USA,2393,Middle Tennessee,Conference USA,32-49,1,22,2-5,3,2,1,42,1,0,53,4,5,278,7,1,2,32:37,0,28,3,4,36,2,165,1,49,7,6-17,3,7-78,443,4,5.7,4.6
401426587,2022,7,regular,home,2393,Middle Tennessee,Conference USA,98,Western Kentucky,Conference USA,32-51,0,19,1-3,1,4,0,0,1,0,86,3,5,228,7,1,1,27:23,0,-2,2,2,26,1,63,0,50,2,3-17,2,9-75,291,2,4.5,2.4
401426588,2022,8,regular,away,2229,Florida International,Conference USA,2429,Charlotte,Conference USA,26-34,0,27,1-3,0,4,0,0,1,0,0,0,4,306,3,3,1,34:38,0,0,0,5,43,4,147,5,35,9,6-14,0,6-45,453,1,9.0,3.4
401426588,2022,8,regular,home,2429,Charlotte,Conference USA,2229,Florida International,Conference USA,25-43,1,21,1-4,2,0,0,0,3,0,115,5,1,277,2,1,1,25:22,0,13,1,1,28,1,60,0,26,6,5-14,2,3-33,337,5,6.4,2.1
401426589,2022,8,regular,away,2226,Florida Atlantic,Conference USA,2638,UTEP,Conference USA,12-20,1,20,0-1,1,0,1,72,0,0,25,1,3,164,4,1,1,24:22,0,24,1,0,38,1,165,2,41,3,4-11,5,3-25,329,1,8.2,4.3
401426589,2022,8,regular,home,2638,UTEP,Conference USA,2226,Florida Atlantic,Conference USA,16-26,0,17,0-0,0,2,0,0,1,0,19,1,10,178,2,0,1,35:38,0,3,1,2,41,1,234,3,27,7,6-13,1,9-56,412,1,6.8,5.7
401426590,2022,8,regular,away,242,Rice,Conference USA,2348,Louisiana Tech,Conference USA,16-27,0,24,2-3,3,0,0,0,0,0,25,2,6,208,3,1,3,33:23,0,4,1,2,45,3,279,4,39,7,6-13,4,7-70,487,3,7.7,6.2
401426590,2022,8,regular,home,2348,Louisiana Tech,Conference USA,242,Rice,Conference USA,20-37,0,19,4-5,0,6,0,0,1,0,86,3,9,229,3,0,5,26:37,0,43,2,4,39,0,144,1,36,6,4-17,0,6-53,373,1,6.2,3.7
401426591,2022,8,regular,away,249,North Texas,Conference USA,2636,UTSA,Conference USA,15-31,0,13,0-0,0,0,0,6,1,0,46,3,9,325,2,1,3,21:37,0,1,1,2,21,0,22,4,47,7,7-15,0,8-68,347,1,10.5,1.0
